1093,0:0:0,0,F,LAUNCH_PAD,-0.01,23.6,99246.7,11.75,0.15,-8.8,15.6,-6.3,-1.17,2.07,-0.84,0:0:0,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,1,F,LAUNCH_PAD,0.19,23.7,99244.4,11.75,0.21,-11.3,-30.0,34.7,-215.91,-28.41,471.59,0:0:7,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,2,F,LAUNCH_PAD,0.31,23.8,99243.0,11.75,0.21,0.4,-23.3,-1.4,36.46,-88.54,-312.50,0:0:8,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,3,F,LAUNCH_PAD,0.34,23.8,99242.6,11.74,0.23,-2.6,-9.1,8.8,-39.77,5.68,-130.68,0:0:9,0.00,0.00000,0.00000,0,CMD,1093,CX,ON
1093,0:0:0,4,F,LAUNCH_PAD,0.66,23.8,99238.9,11.75,0.18,-10.3,-11.6,22.4,-0.93,-2.58,10.33,0:0:10,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,5,F,LAUNCH_PAD,0.39,23.8,99242.1,11.73,0.15,-6.1,-4.9,21.7,-104.17,-135.42,145.83,0:0:11,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,6,F,LAUNCH_PAD,0.45,23.8,99241.4,11.73,0.25,12.3,63.4,0.1,218.75,-239.58,562.50,0:0:12,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,7,F,LAUNCH_PAD,0.76,23.8,99237.7,11.76,0.18,27.2,26.6,18.3,431.82,238.64,-159.09,0:0:13,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,8,F,LAUNCH_PAD,0.62,23.8,99239.3,11.74,0.21,-4.6,-16.0,-3.7,140.63,-268.75,218.75,0:0:14,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,9,F,LAUNCH_PAD,0.78,23.8,99237.4,11.77,0.18,3.2,-15.9,-6.8,-81.25,318.75,250.00,0:0:16,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,10,F,LAUNCH_PAD,0.74,23.8,99237.9,11.74,0.17,3.7,-1.6,-8.6,-62.50,67.71,-57.29,0:0:17,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,11,F,LAUNCH_PAD,0.71,23.8,99238.3,11.74,0.28,-2.5,5.6,-2.4,-22.73,17.05,-130.68,0:0:18,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,12,F,LAUNCH_PAD,0.72,23.8,99238.2,11.74,0.17,-18.2,-11.3,-7.4,0.00,0.00,0.00,0:0:19,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,13,F,LAUNCH_PAD,0.75,23.9,99237.8,11.75,0.20,-11.6,57.3,-3.8,-482.95,-795.45,653.41,0:0:20,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,14,F,LAUNCH_PAD,0.40,23.9,99242.0,11.73,0.20,10.4,-34.2,15.2,-82.03,-207.03,15.62,0:0:21,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,15,F,LAUNCH_PAD,0.34,23.9,99242.7,11.74,0.14,9.1,46.2,-13.2,72.92,-182.29,140.62,0:0:22,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,16,F,LAUNCH_PAD,0.26,23.9,99243.6,11.75,0.16,-2.7,-21.1,14.0,465.91,392.05,-102.27,0:0:23,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,17,F,LAUNCH_PAD,0.37,23.9,99242.3,11.75,0.16,-33.4,-1.4,6.7,-631.25,-25.00,375.00,0:0:24,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,18,F,LAUNCH_PAD,0.32,23.9,99242.9,11.74,0.21,-11.9,9.9,-7.1,-88.54,-109.37,-177.08,0:0:25,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,19,F,LAUNCH_PAD,0.15,23.9,99244.9,11.75,0.20,16.1,-16.1,5.6,346.59,-897.73,-664.77,0:0:26,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,20,F,LAUNCH_PAD,0.19,23.9,99244.4,11.75,0.19,4.0,-9.8,0.0,-52.08,-104.17,223.96,0:0:27,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,21,F,LAUNCH_PAD,0.08,23.9,99245.6,11.73,0.17,-0.5,0.7,5.1,-28.41,-102.27,-625.00,0:0:28,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,22,F,LAUNCH_PAD,0.03,23.9,99246.3,11.74,0.15,5.7,-18.4,29.7,-112.50,-418.75,1500.00,0:0:29,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,23,F,LAUNCH_PAD,0.15,23.9,99244.9,11.75,0.20,2.1,5.5,-20.1,-159.09,-17.05,-278.41,0:0:30,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,24,F,LAUNCH_PAD,-0.19,24.0,99248.8,11.74,0.14,-4.6,4.6,2.5,45.45,5.68,-215.91,0:0:31,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,25,F,LAUNCH_PAD,0.06,24.0,99245.9,11.75,0.14,8.4,11.6,-8.3,-119.32,-164.77,-261.36,0:0:32,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,26,F,LAUNCH_PAD,0.26,24.0,99243.6,11.74,0.20,11.8,5.4,4.5,-270.83,41.67,20.83,0:0:33,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
1093,0:0:0,27,F,LAUNCH_PAD,0.44,24.0,99241.4,11.73,0.20,2.2,-3.0,21.5,2.54,0.08,9.23,0:0:33,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,28,F,LAUNCH_PAD,0.46,24.0,99241.3,11.74,0.18,-59.0,-2.5,20.1,761.36,-340.91,1125.00,0:0:37,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,29,F,LAUNCH_PAD,0.17,24.0,99244.6,11.74,0.23,-9.5,27.8,-0.6,62.50,-244.32,125.00,0:0:38,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,30,F,LAUNCH_PAD,0.31,24.0,99243.0,11.73,0.17,2.8,0.6,5.1,15.62,197.92,88.54,0:0:39,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,31,F,LAUNCH_PAD,1.06,24.0,99234.2,11.75,0.20,-53.4,-63.3,86.7,336.31,-208.33,583.33,0:0:40,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,32,F,LAUNCH_PAD,0.39,24.0,99242.0,11.74,0.18,34.2,-4.2,-57.4,380.68,465.91,-977.27,0:0:41,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,33,F,LAUNCH_PAD,0.33,24.0,99242.8,11.75,0.21,2.9,-5.1,58.0,-79.55,-369.32,1977.27,0:0:42,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,34,F,LAUNCH_PAD,0.30,24.0,99243.2,11.75,0.23,-25.4,-12.6,17.4,204.55,681.82,-261.36,0:0:43,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,35,F,LAUNCH_PAD,0.32,24.0,99242.9,11.74,0.16,-1.0,10.5,-3.9,51.14,-51.14,68.18,0:0:44,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,36,F,LAUNCH_PAD,0.26,24.0,99243.6,11.75,0.25,0.8,6.7,-2.0,22.73,62.50,45.45,0:0:45,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,LOCK
1093,0:0:0,37,F,LAUNCH_PAD,0.38,24.0,99242.2,11.74,0.16,1.3,-1.9,1.9,11.05,-12.19,-7.75,0:0:46,0.00,0.00000,0.00000,0,CMD,1093,MEC,PROBE,UNLOCK
